Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,,,,,,,,,
1461,20,RH,80,11622,Pave,,,,,,,LotFrontage,(All),
1462,20,RL,81,14267,Pave,,,,,,,,,
1463,60,RL,74,13830,Pave,,,,,,,Row Labels,Sum of LotArea,Sum of Id
1464,60,RL,78,9978,Pave,,,,,,,20,325617,45011
1465,120,RL,43,5005,Pave,,,,,,,30,42959,9183
1466,60,RL,75,10000,Pave,,,,,,,45,6900,1534
1467,20,RL,NA,7980,Pave,,,,,,,50,154654,27685
1468,60,RL,63,8402,Pave,,,,,,,60,158695,20791
1469,20,RL,85,10176,Pave,,,,,,,70,51577,9284
1470,20,RL,70,8400,Pave,,,,,,,75,7793,1543
1471,120,RH,26,5858,Pave,,,,,,,80,23900,2998
1472,160,RM,21,1680,Pave,,,,,,,85,11380,1517
1473,160,RM,21,1680,Pave,,,,,,,90,21527,3032
1474,160,RL,24,2280,Pave,,,,,,,120,28313,8873
1475,120,RL,24,2280,Pave,,,,,,,160,22841,13416
1476,60,RL,102,12858,Pave,,,,,,,190,32532,4623
1477,20,RL,94,12883,Pave,,,,,,,(blank),,
1478,20,RL,90,11520,Pave,,,,,,,Grand Total,888688,149490
1479,20,RL,79,14122,Pave,,,,,,,,,
1480,20,RL,110,14300,Pave,,,,,,,,,
1481,60,RL,105,13650,Pave,,,,,,,,,
1482,120,RL,41,7132,Pave,,,,,,,,,
1483,20,RL,100,18494,Pave,,,,,,,,,
1484,120,RL,43,3203,Pave,,,,,,,,,
1485,80,RL,67,13300,Pave,,,,,,,,,
1486,60,RL,63,8577,Pave,,,,,,,,,
1487,60,RL,60,17433,Pave,,,,,,,,,
1488,20,RL,73,8987,Pave,,,,,,,,,
1489,20,FV,92,9215,Pave,,,,,,,,,
1490,20,FV,84,10440,Pave,,,,,,,,,
1491,60,RL,70,11920,Pave,,,,,,,,,
1492,30,RH,70,9800,Pave,,,,,,,,,
1493,20,RL,39,15410,Pave,,,,,,,,,
1494,60,RL,85,13143,Pave,,,,,,,,,
1495,60,RL,88,11134,Pave,,,,,,,,,
1496,120,FV,25,4835,Pave,,,,,,,,,
1497,160,FV,39,3515,Pave,,,,,,,,,
1498,160,FV,30,3215,Pave,,,,,,,,,
1499,160,FV,24,2544,Pave,,,,,,,,,
1500,160,FV,24,2544,Pave,,,,,,,,,
1501,160,FV,NA,2980,Pave,,,,,,,,,
1502,160,FV,NA,2403,Pave,,,,,,,,,
1503,20,FV,57,12853,Pave,,,,,,,,,
1504,60,FV,68,7379,Pave,,,,,,,,,
1505,20,FV,80,8000,Pave,,,,,,,,,
1506,20,RL,NA,10456,Pave,,,,,,,,,
1507,60,RL,80,10791,Pave,,,,,,,,,
1508,50,RL,NA,18837,Pave,,,,,,,,,
1509,60,RL,80,9600,Pave,,,,,,,,,
1510,20,RL,80,9600,Pave,,,,,,,,,
1511,20,RL,90,9900,Pave,,,,,,,,,
1512,20,RL,88,9680,Pave,,,,,,,,,
1513,80,RL,NA,10600,Pave,,,,,,,,,
1514,90,RL,98,13260,Pave,,,,,,,,,
1515,50,RL,68,9724,Pave,,,,,,,,,
1516,50,RL,120,17360,Pave,,,,,,,,,
1517,85,RL,75,11380,Pave,,,,,,,,,
1518,90,RL,70,8267,Pave,,,,,,,,,
1519,20,RL,70,8197,Pave,,,,,,,,,
1520,20,RL,NA,8050,Pave,,,,,,,,,
1521,20,RL,87,10725,Pave,,,,,,,,,
1522,20,RL,80,10032,Pave,,,,,,,,,
1523,50,RL,60,8382,Pave,,,,,,,,,
1524,20,RL,60,10950,Pave,,,,,,,,,
1525,20,RL,119,10895,Pave,,,,,,,,,
1526,190,RL,70,13587,Pave,,,,,,,,,
1527,30,RL,65,7898,Pave,,,,,,,,,
1528,50,RL,60,8064,Pave,,,,,,,,,
1529,20,RL,81,7635,Pave,,,,,,,,,
1530,20,RL,80,9760,Pave,,,,,,,,,
1531,50,RM,60,4800,Pave,,,,,,,,,
1532,30,RM,56,4485,Pave,,,,,,,,,
1533,20,RM,69,5805,Pave,,,,,,,,,
1534,45,RM,50,6900,Pave,,,,,,,,,
1535,50,RM,69,11851,Pave,,,,,,,,,
1536,50,RM,NA,8239,Pave,,,,,,,,,
1537,30,RM,68,9656,Pave,,,,,,,,,
1538,70,RM,60,9600,Pave,,,,,,,,,
1539,70,RM,50,9000,Pave,,,,,,,,,
1540,190,RM,100,9045,Pave,,,,,,,,,
1541,70,RM,60,10560,Pave,,,,,,,,,
1542,50,RM,53,5830,Pave,,,,,,,,,
1543,75,RL,NA,7793,Pave,,,,,,,,,
1544,30,RM,50,5000,Pave,,,,,,,,,
1545,50,RM,50,6000,Pave,,,,,,,,,
1546,50,RM,50,6000,Pave,,,,,,,,,
1547,50,RM,53,6360,Pave,,,,,,,,,
1548,50,RM,50,6000,Pave,,,,,,,,,
1549,50,RM,52,6240,Pave,,,,,,,,,
1550,50,RM,52,6240,Pave,,,,,,,,,
1551,30,RM,51,6120,Pave,,,,,,,,,
1552,50,RM,57,8094,Pave,,,,,,,,,
1553,70,RM,60,12900,Pave,,,,,,,,,
1554,70,RM,52,3068,Pave,,,,,,,,,
1555,20,RL,100,15263,Pave,,,,,,,,,
1556,50,RL,72,10632,Pave,,,,,,,,,
1557,190,RL,60,9900,Pave,,,,,,,,,
1558,50,RL,65,6001,Pave,,,,,,,,,
1559,70,C (all),NA,6449,Pave,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
