Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
1,5.1,3.5,1.4,0.2,Iris-setosa
6,5.4,3.9,1.7,0.4,Iris-setosa
7,4.6,3.4,1.4,0.3,Iris-setosa
10,4.9,3.1,1.5,0.1,Iris-setosa
24,5.1,3.3,1.7,0.5,Iris-setosa
44,5,3.5,1.6,0.6,Iris-setosa
51,7,3.2,4.7,1.4,Iris-versicolor
52,6.4,3.2,4.5,1.5,Iris-versicolor
54,5.5,2.3,4,1.3,Iris-versicolor
57,6.3,3.3,4.7,1.6,Iris-versicolor
58,4.9,2.4,3.3,1,Iris-versicolor
70,5.6,2.5,3.9,1.1,Iris-versicolor
71,5.9,3.2,4.8,1.8,Iris-versicolor
74,6.1,2.8,4.7,1.2,Iris-versicolor
78,6.7,3,5,1.7,Iris-versicolor
101,6.3,3.3,6,2.5,Iris-virginica
102,5.8,2.7,5.1,1.9,Iris-virginica
103,7.1,3,5.9,2.1,Iris-virginica
104,6.3,2.9,5.6,1.8,Iris-virginica
105,6.5,3,5.8,2.2,Iris-virginica
107,4.9,2.5,4.5,1.7,Iris-virginica
111,6.5,3.2,5.1,2,Iris-virginica
115,5.8,2.8,5.1,2.4,Iris-virginica
116,6.4,3.2,5.3,2.3,Iris-virginica
120,6,2.2,5,1.5,Iris-virginica
130,7.2,3,5.8,1.6,Iris-virginica
135,6.1,2.6,5.6,1.4,Iris-virginica
